row_labels,HAC_ward_eucl_thr_23
 C000,10
 C001,6
 C002,10
 C003,9
 C004,6
 C005,3
 C006,7
 C007,9
 C008,9
 C009,4
 C010,4
 C011,3
 C012,10
 C013,6
 C014,7
 C015,9
 C016,4
 C017,9
 C018,10
 C019,3
 C020,9
 C021,9
 C022,4
 C023,7
 C024,7
 C025,9
 C026,7
 C027,9
 C028,4
 C029,3
 C030,6
 C031,5
 C032,6
 C033,5
 C034,4
 C035,6
 C036,4
 C037,1
 C038,6
 C039,4
 C040,4
 C041,9
 C042,10
 C043,6
 C044,6
 C045,3
 C046,4
 C047,5
 C048,3
 C049,10
 C050,9
 C051,9
 C052,4
 C053,9
 C054,3
 C055,3
 C056,9
 C057,9
 C058,9
 C059,6
 C060,4
 C061,8
 C062,6
 C063,7
 C064,10
 C065,9
 C066,10
 C067,10
 C068,4
 C069,4
 C070,9
 C071,3
 C072,9
 C073,10
 C074,6
 C075,9
 C076,9
 C077,4
 C078,4
 C079,5
 C080,9
 C081,4
 C082,9
 C083,9
 C084,9
 C085,9
 C086,5
 C087,6
 C088,4
 C089,7
 C090,9
 C091,3
 C092,5
 C093,6
 C094,4
 C095,4
 C096,7
 C097,8
 C098,7
 C099,7
 C100,7
 C101,4
 C102,7
 C103,5
 C104,9
 C105,7
 C106,4
 C107,9
 C108,7
 C109,4
 C110,6
 C111,1
 C112,6
 C113,4
 C114,7
 C115,5
 C116,1
 C117,1
 C118,1
 C119,4
 C120,1
 C121,1
 C122,6
 C123,9
 C124,10
 C125,10
 C126,9
 C127,7
 C128,4
 C129,6
 C130,6
 C131,9
 C132,5
 C133,7
 C134,4
 C135,7
 C136,9
 C137,9
 C138,6
 C139,6
 C140,5
 C141,7
 C142,8
 C143,9
 C144,6
 C145,9
 C146,6
 C147,5
 C148,6
 C149,3
 C150,6
 C151,6
 C152,3
 C153,3
 C154,6
 C155,7
 C156,3
 C157,3
 C158,3
 C159,1
 C160,1
 C161,7
 C162,6
 C163,3
 C164,5
 C165,6
 C166,5
 C167,6
 C168,6
 C169,3
 C170,3
 C171,5
 C172,7
 C173,7
 C174,6
 C175,5
 C176,9
 C177,4
 C178,9
 C179,6
 C180,3
 C181,3
 C182,9
 C183,7
 C184,3
 C185,3
 C186,5
 C187,5
 C188,1
 C189,5
 C190,8
 C191,7
 C192,8
 C193,6
 C194,10
 C195,3
 C196,7
 C197,1
 C198,3
 C199,3
 C200,7
 C201,10
 C202,3
 C203,9
 C204,8
 C205,3
 C206,9
 C207,10
 C208,3
 C209,3
 C210,5
 C211,6
 C212,9
 C213,4
 C214,4
 C215,9
 C216,9
 C217,9
 C218,6
 C219,6
 C220,9
 C221,9
 C222,9
 C223,6
 C224,9
 C225,6
 C226,3
 C227,9
 C228,9
 C229,9
 C230,7
 C231,9
 C232,8
 C233,7
 C234,7
 C235,6
 C236,9
 C237,5
 C238,9
 C239,4
 C240,8
 C241,6
 C242,7
 C243,8
 C244,6
 C245,4
 C246,4
 C247,7
 C248,4
 C249,4
 C250,4
 C251,7
 C252,9
 C253,7
 C254,4
 C255,6
 C256,4
 C257,3
 C258,7
 C259,8
 C260,7
 C261,3
 C262,8
 C263,3
 C264,4
 C265,7
 C266,8
 C267,7
 C268,7
 C269,8
 C270,3
 C271,8
 C272,3
 C273,4
 C274,6
 C275,5
 C276,4
 C277,6
 C278,4
 C279,6
 C280,5
 C281,6
 C282,9
 C283,6
 C284,6
 C285,9
 C286,4
 C287,7
 C288,3
 C289,9
 C290,8
 C291,4
 C292,4
 C293,8
 C294,7
 C295,6
 C296,4
 C297,6
 C298,5
 C299,8
 C300,8
 C301,9
 C302,7
 C303,8
 C304,4
 C305,3
 C306,9
 C307,6
 C308,4
 C309,8
 C310,4
 C311,3
 C312,7
 C313,7
 C314,8
 C315,7
 C316,3
 C317,6
 C318,6
 C319,9
 C320,8
 C321,3
 C322,8
 C323,9
 C324,9
 C325,6
 C326,6
 C327,7
 C328,6
 C329,6
 C330,8
 C331,7
 C332,8
 C333,8
 C334,9
 C335,8
 C336,6
 C337,9
 C338,6
 C339,6
 C340,4
 C341,9
 C342,6
 C343,7
 C344,5
 C345,5
 C346,4
 C347,3
 C348,6
 C349,7
 C350,4
 C351,6
 C352,4
 C353,4
 C354,6
 C355,6
 C356,4
 C357,5
 C358,6
