row_labels,AUC_index,HAC_ward_eucl,HAC_average_cosi,AUC_index_noCNHO_cross,AUC_1p5s_wCNO,AUC_1p5s_woCNO
 C000,522,909,897,350,414,178
 C001,867,481,109,559,709,702
 C002,232,910,898,29,143,89
 C003,99,830,329,294,367,640
 C004,784,433,263,727,909,316
 C005,738,91,684,697,789,728
 C006,827,566,694,748,918,813
 C007,374,715,528,31,523,111
 C008,529,690,428,821,480,622
 C009,80,238,425,800,341,843
 C010,364,219,454,636,495,720
 C011,487,127,674,815,704,887
 C012,473,933,424,769,298,762
 C013,558,432,262,718,719,582
 C014,276,528,676,451,242,537
 C015,675,725,673,713,805,606
 C016,140,220,455,861,159,718
 C017,464,691,429,867,584,684
 C018,323,930,840,602,302,302
 C019,301,89,681,824,326,797
 C020,478,696,265,588,652,380
 C021,601,692,430,750,676,608
 C022,105,239,426,773,561,900
 C023,457,527,675,719,499,795
 C024,447,529,677,673,384,721
 C025,263,831,330,480,626,651
 C026,720,593,649,400,815,318
 C027,272,832,328,322,503,666
 C028,352,221,513,507,258,460
 C029,770,125,690,894,845,825
 C030,731,377,32,676,576,780
 C031,76,337,40,316,913,616
 C032,736,454,511,308,639,382
 C033,12,321,80,785,132,770
 C034,353,196,358,647,371,752
 C035,502,479,255,628,286,648
 C036,706,211,196,871,734,943
 C037,573,8,696,655,604,731
 C038,260,450,251,565,193,494
 C039,495,222,512,552,541,612
 C040,164,192,327,714,641,371
 C041,425,828,785,368,205,374
 C042,690,922,276,595,562,412
 C043,593,480,256,693,383,802
 C044,153,478,252,674,77,626
 C045,858,75,557,733,910,753
 C046,51,200,395,218,114,179
 C047,16,322,81,822,423,815
 C048,774,126,691,876,758,817
 C049,726,928,422,585,693,647
 C050,183,839,390,659,314,546
 C051,279,829,514,613,331,477
 C052,95,237,78,772,642,708
 C053,564,718,692,920,686,866
 C054,643,132,695,535,700,696
 C055,321,90,682,355,551,375
 C056,799,697,485,715,595,650
 C057,325,815,412,566,257,593
 C058,748,824,420,640,819,657
 C059,318,378,33,726,357,736
 C060,526,176,400,293,320,263
 C061,126,633,360,439,281,588
 C062,191,467,411,446,544,527
 C063,792,571,678,819,902,868
 C064,485,927,421,554,404,609
 C065,380,722,357,739,458,771
 C066,336,931,786,253,148,225
 C067,331,932,784,76,130,86
 C068,468,217,361,624,671,740
 C069,49,201,396,275,129,218
 C070,47,840,391,539,79,383
 C071,618,92,685,667,683,643
 C072,207,816,413,764,311,841
 C073,525,923,277,436,453,619
 C074,841,434,264,897,921,688
 C075,587,713,558,728,904,723
 C076,622,714,559,533,917,629
 C077,110,198,398,490,164,360
 C078,697,212,197,747,766,901
 C079,20,320,79,357,377,487
 C080,440,695,266,759,680,617
 C081,136,197,359,532,251,618
 C082,482,693,401,879,532,809
 C083,609,719,693,591,547,644
 C084,453,694,253,832,235,808
 C085,200,791,267,166,699,33
 C086,859,297,10,73,94,173
 C087,911,374,28,880,796,905
 C088,115,202,393,257,197,459
 C089,628,580,561,853,488,927
 C090,383,733,352,471,546,695
 C091,823,76,659,848,867,758
 C092,236,328,106,524,563,627
 C093,428,475,268,557,782,296
 C094,405,227,729,548,605,586
 C095,222,225,759,729,316,748
 C096,758,581,562,677,778,705
 C097,474,634,392,767,587,738
 C098,339,549,717,597,373,709
 C099,312,550,718,506,472,437
 C100,382,567,730,611,555,630
 C101,138,226,715,634,249,653
 C102,192,525,518,497,350,553
 C103,505,281,46,651,771,727
