Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,117.86851665713831,0.12293845970738854,0.12293845970738854
PC2,48.65129337862158,0.050743958101535855,0.1736824178089244
PC3,41.79303425802604,0.04359070092589206,0.21727311873481647
PC4,37.175727576131976,0.03877478750331221,0.2560479062381287
PC5,31.979918961063202,0.03335548872712582,0.28940339496525447
PC6,28.726717860281063,0.029962355905984853,0.3193657508712393
PC7,28.620926673809564,0.029852014265279767,0.3492177651365191
PC8,24.151881758688045,0.025190739874032878,0.37440850501055195
PC9,22.89250922430028,0.023877197259207363,0.3982857022697593
PC10,22.03481449212212,0.02298261003385147,0.4212683123036108
PC11,20.85870212466855,0.021755908901112685,0.44302422120472346
PC12,18.72186330070222,0.019527157058705762,0.46255137826342924
PC13,18.422424886682773,0.01921483873621549,0.4817662169996447
PC14,17.51885816934349,0.01827240640888183,0.5000386234085266
PC15,15.953836295451067,0.016640067392141918,0.5166786908006685
PC16,14.835247565962199,0.01547336419310681,0.5321520549937754
PC17,13.641062564048594,0.014227813057785619,0.546379868051561
PC18,13.47176562662438,0.014051234058487162,0.5604311021100482
PC19,12.176026718241582,0.01269976082290821,0.5731308629329565
PC20,11.899417106576825,0.012411253250549068,0.5855421161835055
PC21,11.272398577559244,0.011757264430195608,0.5972993806137011
PC22,10.808632311606672,0.011273549931893204,0.6085729305455944
PC23,9.678626870573341,0.010094938948048329,0.6186678694936427
PC24,9.454261011186045,0.00986092231709136,0.6285287918107341
PC25,8.803012862482595,0.009181661675152657,0.6377104534858867
PC26,8.268112377887931,0.008623753223109529,0.6463342067089962
PC27,7.888771788160457,0.008228095848874102,0.6545623025578703
PC28,7.624357799437528,0.00795230847646455,0.6625146110343348
PC29,7.351389179531905,0.007667598507836837,0.6701822095421717
PC30,6.915114717480957,0.007212558333451434,0.6773947678756231
PC31,6.389560556486736,0.0066643982235437,0.6840591660991668
PC32,6.2866345986684715,0.0065570450551408746,0.6906162111543077
PC33,6.18485793259919,0.006450890613602368,0.6970671017679101
PC34,5.858473723584822,0.006110467461881889,0.703177569229792
PC35,5.76570741554327,0.006013710945834914,0.7091912801756269
PC36,5.611298799067087,0.0058526606669860775,0.715043940842613
PC37,5.373195102073756,0.005604315285291464,0.7206482561279045
PC38,5.100869869886606,0.00532027637877047,0.7259685325066749
PC39,5.026366753926692,0.005242568619486829,0.7312111011261617
PC40,4.93464659161522,0.005146903247609078,0.7363580043737707
PC41,4.60037342316003,0.004798251804315457,0.7411562561780862
PC42,4.531183637007283,0.004726085920003489,0.7458823420980897
PC43,4.519344866106758,0.004713737921567462,0.7505960800196572
PC44,4.288462175380773,0.004472924147236902,0.755069004166894
PC45,4.091785757349928,0.004267787978739831,0.7593367921456339
PC46,4.025323794831521,0.0041984672514339075,0.7635352593970678
PC47,3.9460835891901995,0.004115818643436423,0.7676510780405043
PC48,3.88973854840629,0.004057050002559459,0.7717081280430638
PC49,3.820470369775365,0.0039848023538307225,0.7756929303968945
PC50,3.539810895440108,0.0036920707198403813,0.7793850011167348
PC51,3.532533679304259,0.0036844804848219716,0.7830694816015568
PC52,3.422451197773485,0.0035696629652333697,0.7866391445667902
PC53,3.3145114479138043,0.0034570803438065626,0.7900962249105967
PC54,3.2181193004490125,0.003356542028119773,0.7934527669387165
PC55,3.1234504476924476,0.0032578011321601494,0.7967105680708766
PC56,3.0034800072534202,0.003132670337472255,0.7998432384083488
PC57,2.9583302823036517,0.003085578562679816,0.8029288169710286
PC58,2.87833880573692,0.0030021463689292207,0.8059309633399578
PC59,2.8322503195905413,0.0029540754534907684,0.8088850387934486
PC60,2.725139322995327,0.0028423572329464063,0.8117273960263951
PC61,2.6424776935270065,0.0027561400335453247,0.8144835360599404
PC62,2.534027653902556,0.002643025172980668,0.817126561232921
PC63,2.5025766317501197,0.002610221330790215,0.8197367825637113
PC64,2.4106599061267584,0.002514350940715205,0.8222511335044265
PC65,2.393237803352321,0.002496179451494012,0.8247473129559205
PC66,2.2878207401027457,0.002386228026377861,0.8271335409822984
PC67,2.2849658860789703,0.00238325037495468,0.8295167913572531
PC68,2.2275727336196653,0.002323388539400894,0.8318401798966539
PC69,2.2022762261746425,0.002297003939429098,0.834137183836083
PC70,2.1690344175481924,0.0022623322826854134,0.8363995161187685
PC71,2.0927917772135336,0.0021828101759125552,0.8385823262946811
PC72,2.0283074828241903,0.002115552183257877,0.840697878477939
PC73,1.9890388781121833,0.0020745944965484117,0.8427724729744874
PC74,1.9751504950726564,0.0020601087248841065,0.8448325816993716
PC75,1.9228130569663129,0.00200552006789319,0.8468381017672648
PC76,1.9079617042591117,0.001990029905819585,0.8488281316730844
PC77,1.845981131695045,0.0019253833289480595,0.8507535150020324
PC78,1.783469688621608,0.0018601830469432462,0.8526136980489757
PC79,1.7494499056944732,0.0018246999524642732,0.85443839800144
PC80,1.6929341896823225,0.0017657532950120158,0.856204151296452
PC81,1.689172445384172,0.0017618297447464866,0.8579659810411985
PC82,1.6448493975040148,0.0017156002053371317,0.8596815812465356
PC83,1.5953987507965706,0.001664022510884325,0.86134560375742
PC84,1.5655703707584339,0.0016329111064019724,0.8629785148638219
PC85,1.5277696885284262,0.0015934844827280403,0.8645719993465499
PC86,1.5189901221140285,0.001584327276015883,0.8661563266225658
PC87,1.4961622090254745,0.0015605174534013809,0.8677168440759672
PC88,1.477733427630045,0.001541295984740427,0.8692581400607076
PC89,1.4520386183707568,0.0015144959505803235,0.8707726360112878
PC90,1.442800758993947,0.0015048607380996068,0.8722774967493875
PC91,1.4034103242521503,0.0014637759810185679,0.873741272730406
PC92,1.3727500710606522,0.0014317969215673855,0.8751730696519734
PC93,1.3362563834145187,0.001393733510951057,0.8765668031629245
PC94,1.3106243962921662,0.0013669990011308658,0.8779338021640554
PC95,1.2663053748588349,0.0013207736613600992,0.8792545758254154
PC96,1.2549888816549273,0.0013089704056372465,0.8805635462310527
PC97,1.247220404776354,0.0013008677790087774,0.8818644140100614
PC98,1.221759493556619,0.001274311703672682,0.8831387257137341
PC99,1.189103767323103,0.00124025133880483,0.8843789770525389
PC100,1.1725409130252333,0.0012229760573854412,0.8856019531099243
PC101,1.1706689597489466,0.001221023584757824,0.8868229766946821
PC102,1.1513648599177337,0.0012008891471098956,0.888023865841792
PC103,1.122924153079846,0.001171225104575026,0.8891950909463671
PC104,1.109967278808235,0.0011577109091753537,0.8903528018555424
PC105,1.1004831393462848,0.0011478188232293342,0.8915006206787718
PC106,1.0880389244788167,0.0011348393385334804,0.8926354600173053
PC107,1.0595972682897965,0.0011051743058125185,0.8937406343231178
PC108,1.0406100421865196,0.0010853703717557017,0.8948260046948735
PC109,1.0231984752725525,0.001067209871579715,0.8958932145664532
PC110,1.0052907193050793,0.001048531839498757,0.8969417464059519
PC111,0.9946008894996043,0.0010373822021902466,0.8979791286081422
PC112,0.9821672968361365,0.0010244137965970703,0.8990035424047393
PC113,0.9630793898208715,0.0010045048509850665,0.9000080472557244
PC114,0.9427159131341034,0.0009832654689247936,0.9009913127246492
PC115,0.9393950196389335,0.0009798017320192375,0.9019711144566684
PC116,0.9199470580266115,0.0009595172445846324,0.9029306317012531
PC117,0.9087521705572006,0.000947840825290324,0.9038784725265434
PC118,0.897415455851387,0.0009360164782670308,0.9048144890048104
PC119,0.8905641652366438,0.0009288704893373974,0.9057433594941479
PC120,0.8793117108435093,0.0009171340269617524,0.9066604935211097
PC121,0.8610408781109938,0.0008980773008960412,0.9075585708220058
PC122,0.8594217260544376,0.0008963885033654496,0.9084549593253712
PC123,0.8516926716777141,0.0008883269949404899,0.9093432863203117
PC124,0.8196131221785582,0.0008548675902123799,0.910198153910524
PC125,0.8006599051150687,0.0008350991280448017,0.9110332530385689
PC126,0.7929527014317335,0.0008270604101890701,0.911860313448758
PC127,0.7820372878811918,0.0008156754859783395,0.9126759889347363
PC128,0.7775632667533361,0.0008110090213297953,0.9134869979560661
PC129,0.7735241692624528,0.000806796187926779,0.9142937941439929
PC130,0.7594990652226554,0.000792167814406952,0.9150859619583999
PC131,0.7477270214315235,0.0007798894132500131,0.9158658513716499
PC132,0.7399843304702723,0.0007718136816826481,0.9166376650533326
PC133,0.7361955999006897,0.0007678619843704161,0.917405527037703
PC134,0.721329300431595,0.0007523562326216638,0.9181578832703247
