row_labels,HAC_ward_eucl_thr_22
 C000,1
 C001,2
 C002,9
 C003,1
 C004,1
 C005,5
 C006,2
 C007,2
 C008,1
 C009,8
 C010,2
 C011,8
 C012,6
 C013,8
 C014,6
 C015,5
 C016,2
 C017,9
 C018,6
 C019,5
 C020,1
 C021,1
 C022,8
 C023,8
 C024,11
 C025,1
 C026,8
 C027,8
 C028,1
 C029,2
 C030,2
 C031,1
 C032,2
 C033,10
 C034,1
 C035,2
 C036,2
 C037,3
 C038,8
 C039,1
 C040,2
 C041,2
 C042,9
 C043,2
 C044,2
 C045,11
 C046,2
 C047,10
 C048,5
 C049,10
 C050,6
 C051,2
 C052,8
 C053,8
 C054,3
 C055,8
 C056,8
 C057,2
 C058,10
 C059,2
 C060,8
 C061,2
 C062,8
 C063,5
 C064,10
 C065,5
 C066,2
 C067,2
 C068,8
 C069,2
 C070,6
 C071,5
 C072,8
 C073,2
 C074,1
 C075,2
 C076,10
 C077,8
 C078,2
 C079,10
 C080,1
 C081,2
 C082,8
 C083,8
 C084,10
 C085,2
 C086,1
 C087,1
 C088,1
 C089,1
 C090,1
 C091,2
 C092,1
 C093,2
 C094,1
 C095,1
 C096,2
 C097,6
 C098,1
 C099,11
 C100,1
 C101,8
 C102,11
 C103,11
 C104,2
 C105,8
 C106,8
 C107,10
 C108,2
 C109,8
 C110,11
 C111,11
 C112,1
 C113,8
 C114,8
 C115,1
 C116,5
 C117,5
 C118,11
 C119,11
 C120,5
 C121,5
 C122,11
 C123,11
 C124,11
 C125,10
 C126,2
 C127,8
 C128,11
 C129,2
 C130,1
 C131,5
 C132,1
 C133,11
 C134,11
 C135,10
 C136,8
 C137,11
 C138,11
 C139,1
 C140,2
 C141,1
 C142,2
 C143,11
 C144,1
 C145,11
 C146,1
 C147,1
 C148,1
 C149,11
 C150,2
 C151,8
 C152,2
 C153,2
 C154,8
 C155,10
 C156,2
 C157,8
 C158,11
 C159,11
 C160,3
 C161,5
 C162,2
 C163,5
 C164,1
 C165,1
 C166,1
 C167,8
 C168,2
 C169,11
 C170,11
 C171,2
 C172,1
 C173,10
 C174,1
 C175,2
 C176,10
 C177,2
 C178,1
 C179,1
 C180,10
 C181,3
 C182,10
 C183,5
 C184,8
 C185,3
 C186,8
 C187,1
 C188,8
 C189,1
 C190,2
 C191,10
 C192,6
 C193,8
 C194,6
 C195,10
 C196,5
 C197,3
 C198,5
 C199,5
 C200,5
 C201,6
 C202,5
 C203,6
 C204,2
 C205,10
 C206,10
 C207,2
 C208,5
 C209,5
 C210,2
 C211,2
 C212,1
 C213,1
 C214,1
 C215,1
 C216,11
 C217,10
 C218,8
 C219,6
 C220,8
 C221,1
 C222,8
 C223,6
 C224,6
 C225,2
 C226,8
 C227,6
 C228,2
 C229,9
 C230,8
 C231,8
 C232,6
 C233,11
 C234,9
 C235,6
 C236,8
 C237,2
 C238,6
 C239,1
 C240,6
 C241,9
 C242,5
 C243,6
 C244,2
 C245,2
 C246,2
 C247,8
 C248,2
 C249,8
 C250,2
 C251,10
 C252,2
 C253,11
 C254,11
 C255,6
 C256,10
 C257,10
 C258,8
 C259,10
