row_labels,AUC_index,HAC_ward_eucl,HAC_average_cosi,AUC_index_wCNO,AUC_1p5s_woCNO,AUC_1p5s_wCNO
 C000,350,59,235,620,178,414
 C001,559,307,956,957,702,709
 C002,29,739,487,746,89,143
 C003,294,46,65,46,640,367
 C004,727,38,103,73,316,909
 C005,697,404,922,361,728,789
 C006,748,321,675,86,813,918
 C007,31,303,366,179,111,523
 C008,821,181,276,195,622,480
 C009,800,659,278,105,843,341
 C010,636,315,666,87,720,495
 C011,815,628,775,255,887,704
 C012,769,521,773,470,762,298
 C013,718,618,102,138,582,719
 C014,451,522,774,351,537,242
 C015,713,403,881,352,606,805
 C016,861,316,667,152,718,159
 C017,867,734,275,112,684,584
 C018,602,520,641,748,302,302
 C019,824,405,923,345,797,326
 C020,588,183,559,99,380,652
 C021,750,182,277,89,608,676
 C022,773,660,279,16,900,561
 C023,719,629,776,535,795,499
 C024,673,905,777,583,721,384
 C025,480,47,66,169,651,626
 C026,400,669,673,322,318,815
 C027,322,650,730,56,666,503
 C028,507,65,84,332,460,258
 C029,894,324,593,323,825,845
 C030,676,229,75,709,780,576
 C031,316,116,113,9,616,913
 C032,308,272,719,387,382,639
 C033,785,845,663,22,770,132
 C034,647,75,264,383,752,371
 C035,628,287,630,621,648,286
 C036,871,210,81,272,943,734
 C037,655,353,932,142,731,604
 C038,565,631,321,263,494,193
 C039,552,66,85,231,612,541
 C040,714,259,320,120,371,641
 C041,368,267,646,467,374,205
 C042,595,742,647,560,412,562
 C043,693,288,631,441,802,383
 C044,674,286,632,510,626,77
 C045,733,886,866,347,753,910
 C046,218,194,269,247,179,114
 C047,822,846,662,7,815,423
 C048,876,406,920,430,817,758
 C049,585,789,644,857,647,693
 C050,659,448,252,636,546,314
 C051,613,260,322,313,477,331
 C052,772,665,870,20,708,642
 C053,920,630,718,342,866,686
 C054,535,354,913,199,696,700
 C055,355,666,908,151,375,551
 C056,715,620,680,825,650,595
 C057,566,281,479,168,593,257
 C058,640,787,642,354,657,819
 C059,726,329,661,416,736,357
 C060,293,619,679,793,263,320
 C061,439,196,263,376,588,281
 C062,446,657,550,221,527,544
 C063,819,400,915,59,868,902
 C064,554,788,643,637,609,404
 C065,739,401,916,244,771,458
 C066,253,268,648,692,225,148
 C067,76,269,649,853,86,130
 C068,624,667,262,421,740,671
 C069,275,195,270,136,218,129
 C070,539,449,253,462,383,79
 C071,667,407,921,279,643,683
 C072,764,658,551,140,841,311
 C073,436,233,405,349,619,453
 C074,897,39,104,80,688,921
 C075,728,293,594,183,723,904
 C076,533,808,867,207,629,917
 C077,490,714,432,220,360,164
 C078,747,211,82,283,901,766
