Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,78.11525631089135,0.08147282246228175,0.08147282246228175
PC2,59.42578846523542,0.06198004003264328,0.14345286249492503
PC3,37.34583204657163,0.03895103834681131,0.18240390084173635
PC4,36.38276622317972,0.03794657782841498,0.22035047867015134
PC5,32.258081261895185,0.03364460480247838,0.2539950834726297
PC6,31.546478009168556,0.03290241527112436,0.2868974987437541
PC7,29.27332063021012,0.03053155257014793,0.31742905131390203
PC8,25.22700411081187,0.026311316434723925,0.34374036774862593
PC9,24.01257803024647,0.02504469164043679,0.3687850593890627
PC10,22.540337318791842,0.02350917077331314,0.39229423016237586
PC11,21.60164775381934,0.022530134258732334,0.4148243644211082
PC12,18.70425534917065,0.019508205532696866,0.4343325699538051
PC13,18.14818710053602,0.018928236243245727,0.45326080619705084
PC14,16.71531401783821,0.017433775112464744,0.4706945813095156
PC15,15.592465725876597,0.016262664322288536,0.4869572456318041
PC16,14.507510474936254,0.015131075299683506,0.5020883209314876
PC17,14.25266535112376,0.014865276369892905,0.5169535973013805
PC18,13.861691449616862,0.014457497547045773,0.5314110948484262
PC19,13.542367571269208,0.014124448423516773,0.545535543271943
PC20,12.154884127568874,0.012677327878612518,0.5582128711505555
PC21,11.718395477744291,0.012222077983093696,0.5704349491336492
PC22,11.017987323694546,0.01149156474047027,0.5819265138741195
PC23,10.435073559166199,0.010883596055592295,0.5928101099297118
PC24,9.579251370383181,0.009990988739954795,0.6028010986696666
PC25,9.307527342627921,0.00970758541367071,0.6125086840833373
PC26,9.126098825531018,0.00951835869841547,0.6220270427817527
PC27,8.908175636624232,0.009291068689795972,0.6313181114715487
PC28,8.358660394697893,0.00871793406974685,0.6400360455412956
PC29,8.084581502900626,0.008432074662166,0.6484681202034616
PC30,7.925992440403165,0.008266669091685733,0.6567347892951473
PC31,7.530018935449827,0.007853675771399683,0.664588465066547
PC32,7.321195256063335,0.00763587638930633,0.6722243414558533
PC33,7.17455928029116,0.007482937675604585,0.6797072791314579
PC34,6.906948942188636,0.007203824854435255,0.6869111039858932
PC35,6.421683246033702,0.006697701367462145,0.6936088053533553
PC36,6.308095206348078,0.00657923106309146,0.7001880364164468
PC37,5.988177047747162,0.00624556211583207,0.7064335985322788
PC38,5.824400657648389,0.006074746254959444,0.7125083447872382
PC39,5.653810172261794,0.0058968234139417834,0.71840516820118
PC40,5.291634405040803,0.005519080532762472,0.7239242487339426
PC41,5.240543479918304,0.00546579360689779,0.7293900423408404
PC42,5.124478563319771,0.005344739963976908,0.7347347823048173
PC43,4.959712113975838,0.005172891488927264,0.7399076737937446
PC44,4.920541174564477,0.005132036896072299,0.7450397106898169
PC45,4.6605110038569615,0.0048608300546254205,0.7499005407444423
PC46,4.5254345875760125,0.004719947755798929,0.7546204885002413
PC47,4.370847250359802,0.004558715913586088,0.7591792044138275
PC48,4.34672537875425,0.00453355723069122,0.7637127616445187
PC49,4.193548081634757,0.00437379603521104,0.7680865576797298
PC50,3.9595036965042882,0.0041296919057675074,0.7722162495854973
PC51,3.8193301829699244,0.003983493425196086,0.7761997430106934
PC52,3.659815444039981,0.003817122390666887,0.7800168654013603
PC53,3.6469755357853106,0.0038037305948120373,0.7838205959961723
PC54,3.5802682689575867,0.003734156102403421,0.7875547520985757
PC55,3.498931652950493,0.003649323459094219,0.7912040755576699
PC56,3.4224615789036186,0.0035695665324613117,0.7947736420901312
PC57,3.265321069923421,0.003405671777526081,0.7981793138676573
PC58,3.2526176811284957,0.0033924223690387154,0.801571736236696
PC59,3.128985798773572,0.0032634765154695706,0.8048352127521655
PC60,3.112763492322025,0.0032465569384768837,0.8080817696906424
PC61,3.051857733791182,0.00318303331599826,0.8112648030066406
PC62,2.9647620177027125,0.003092194033773287,0.8143569970404139
PC63,2.8951114612428626,0.0030195497426470054,0.8173765467830608
PC64,2.74526716256204,0.002863264805235802,0.8202398115882966
PC65,2.692907220688938,0.0028086543174792914,0.823048465905776
PC66,2.5980089040549563,0.0027096770617135468,0.8257581429674895
PC67,2.5477788374207853,0.002657287995935319,0.8284154309634248
PC68,2.5058558873364207,0.0026135631049137133,0.8310289940683385
PC69,2.433454427818693,0.0025380496708436585,0.8335670437391822
PC70,2.3698585451674092,0.002471720296771596,0.8360387640359538
PC71,2.325740601163607,0.0024257060661465662,0.8384644701021003
PC72,2.3088298492575046,0.0024080684527939813,0.8408725385548943
PC73,2.2210029918953933,0.002316466603229471,0.8431890051581238
PC74,2.1923960236707893,0.0022866300443622587,0.845475635202486
