row_labels,HAC_ward_eucl,HAC_average_cosi,AUC_index
Neuron_0000,91,321,403
Neuron_0001,178,59,823
Neuron_0002,860,476,102
Neuron_0003,112,94,121
Neuron_0004,50,102,794
Neuron_0005,655,874,773
Neuron_0006,711,657,851
Neuron_0007,749,620,155
Neuron_0008,422,311,650
Neuron_0009,229,378,314
Neuron_0010,235,804,476
Neuron_0011,948,642,666
Neuron_0012,447,711,604
Neuron_0013,49,101,678
Neuron_0014,448,712,311
Neuron_0015,826,928,715
Neuron_0016,236,805,429
Neuron_0017,774,788,693
Neuron_0018,446,735,364
Neuron_0019,657,806,574
Neuron_0020,424,571,524
Neuron_0021,423,312,667
Neuron_0022,230,379,467
Neuron_0023,949,643,551
Neuron_0024,878,713,542
Neuron_0025,113,95,306
Neuron_0026,886,799,570
Neuron_0027,780,787,279
Neuron_0028,122,456,376
Neuron_0029,703,651,842
Neuron_0030,251,381,770
Neuron_0031,54,47,143
Neuron_0032,196,768,477
Neuron_0033,319,174,227
Neuron_0034,591,407,449
Neuron_0035,190,181,541
Neuron_0036,282,105,854
Neuron_0037,632,882,646
Neuron_0038,192,294,529
Neuron_0039,123,455,484
Neuron_0040,131,295,297
Neuron_0041,440,708,397
Neuron_0042,405,195,624
Neuron_0043,191,182,692
Neuron_0044,189,183,349
Neuron_0045,659,827,847
Neuron_0046,594,413,57
Neuron_0047,320,175,333
Neuron_0048,654,905,857
Neuron_0049,399,738,705
Neuron_0050,587,579,362
Neuron_0051,455,457,389
Neuron_0052,257,172,325
Neuron_0053,453,862,807
Neuron_0054,626,880,655
Neuron_0055,707,656,299
Neuron_0056,426,730,804
Neuron_0057,232,715,530
Neuron_0058,397,736,783
Neuron_0059,252,382,539
Neuron_0060,258,729,377
Neuron_0061,585,406,192
Neuron_0062,231,714,355
Neuron_0063,820,929,849
Neuron_0064,398,737,512
Neuron_0065,821,930,606
Neuron_0066,441,709,247
Neuron_0067,442,710,140
Neuron_0068,589,405,626
Neuron_0069,595,414,81
Neuron_0070,588,577,129
Neuron_0071,656,875,672
Neuron_0072,233,716,480
Neuron_0073,406,391,502
Neuron_0074,51,103,898
Neuron_0075,890,826,658
Neuron_0076,891,828,584
Neuron_0077,560,410,187
Neuron_0078,283,106,785
Neuron_0079,318,173,141
Neuron_0080,425,572,608
Neuron_0081,592,408,233
Neuron_0082,427,731,731
Neuron_0083,454,863,676
Neuron_0084,775,184,694
Neuron_0085,582,51,128
Neuron_0086,8,9,571
Neuron_0087,2,5,924
Neuron_0088,593,415,123
Neuron_0089,727,316,718
Neuron_0090,114,383,411
Neuron_0091,729,313,872
Neuron_0092,41,79,430
Neuron_0093,583,52,388
Neuron_0094,137,649,472
Neuron_0095,136,698,456
Neuron_0096,712,315,786
Neuron_0097,750,578,675
Neuron_0098,92,639,423
Neuron_0099,786,901,405
Neuron_0100,704,650,457
Neuron_0101,245,699,289
Neuron_0102,767,779,309
Neuron_0103,290,223,668
Neuron_0104,134,777,249
Neuron_0105,952,700,359
Neuron_0106,561,411,178
Neuron_0107,785,919,620
Neuron_0108,756,384,682
Neuron_0109,562,412,130
Neuron_0110,788,917,756
Neuron_0111,665,908,368
Neuron_0112,6,7,284
Neuron_0113,787,830,214
Neuron_0114,942,776,497
Neuron_0115,7,8,581
Neuron_0116,663,906,367
Neuron_0117,661,910,303
Neuron_0118,666,911,415
Neuron_0119,292,220,797
Neuron_0120,664,907,450
Neuron_0121,662,909,499
Neuron_0122,294,218,341
Neuron_0123,768,780,185
Neuron_0124,295,219,468
Neuron_0125,400,739,578
Neuron_0126,757,385,267
Neuron_0127,953,701,481
Neuron_0128,304,215,903
Neuron_0129,584,53,432
Neuron_0130,4,2,935
Neuron_0131,818,214,448
Neuron_0132,9,10,643
Neuron_0133,660,920,496
Neuron_0134,293,221,820
Neuron_0135,882,778,605
Neuron_0136,559,409,188
Neuron_0137,827,932,492
Neuron_0138,339,217,737
Neuron_0139,3,6,912
Neuron_0140,115,196,506
Neuron_0141,728,317,844
Neuron_0142,586,416,112
Neuron_0143,769,781,180
Neuron_0144,1,4,925
Neuron_0145,789,918,882
Neuron_0146,5,3,921
Neuron_0147,264,20,919
Neuron_0148,269,24,733
Neuron_0149,675,902,572
Neuron_0150,272,569,276
Neuron_0151,311,161,527
Neuron_0152,702,652,716
Neuron_0153,699,654,538
Neuron_0154,312,162,439
Neuron_0155,883,864,503
Neuron_0156,957,653,418
Neuron_0157,956,647,417
Neuron_0158,671,645,593
Neuron_0159,673,903,647
Neuron_0160,633,883,707
Neuron_0161,819,866,550
Neuron_0162,271,22,772
Neuron_0163,652,867,573
Neuron_0164,265,21,909
Neuron_0165,270,25,888
Neuron_0166,263,19,845
Neuron_0167,313,163,344
Neuron_0168,273,570,517
Neuron_0169,676,904,460
Neuron_0170,672,648,536
Neuron_0171,266,17,486
Neuron_0172,142,131,654
Neuron_0173,884,865,365
Neuron_0174,268,23,708
Neuron_0175,267,18,900
Neuron_0176,776,921,540
Neuron_0177,138,899,637
Neuron_0178,127,104,717
Neuron_0179,42,144,410
Neuron_0180,674,900,353
Neuron_0181,644,940,422
Neuron_0182,777,937,780
Neuron_0183,658,938,875
Neuron_0184,958,646,360
Neuron_0185,645,941,357
Neuron_0186,20,14,661
Neuron_0187,18,12,752
Neuron_0188,667,658,799
Neuron_0189,19,13,825
Neuron_0190,506,392,250
Neuron_0191,811,766,552
Neuron_0192,508,386,152
Neuron_0193,329,60,531
Neuron_0194,502,394,285
Neuron_0195,685,894,843
Neuron_0196,639,568,316
Neuron_0197,629,887,553
Neuron_0198,608,836,892
Neuron_0199,642,912,790
Neuron_0200,823,789,293
Neuron_0201,503,395,242
Neuron_0202,641,935,727
Neuron_0203,435,454,607
Neuron_0204,507,393,300
Neuron_0205,815,767,722
Neuron_0206,812,765,746
Neuron_0207,504,396,219
Neuron_0208,649,914,748
Neuron_0209,606,834,850
Neuron_0210,179,85,689
Neuron_0211,183,718,673
Neuron_0212,135,600,685
Neuron_0213,119,365,177
Neuron_0214,118,364,767
Neuron_0215,743,621,858
Neuron_0216,306,428,761
Neuron_0217,895,721,487
Neuron_0218,199,203,918
Neuron_0219,377,426,792
Neuron_0220,361,719,622
Neuron_0221,436,585,483
Neuron_0222,781,754,380
Neuron_0223,307,429,902
Neuron_0224,372,434,695
Neuron_0225,184,717,366
Neuron_0226,950,637,463
