Component,Explained_Variance,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,134.33996552516524,0.14017297356281438,0.14017297356281438
PC2,78.11428429947897,0.08150598718099206,0.22167896074380644
PC3,34.12786485981115,0.03560968830123366,0.2572886490450401
PC4,24.677636879583414,0.025749133762183348,0.28303778280722347
PC5,22.82905652108344,0.023820288502265405,0.3068580713094889
PC6,19.294040900161495,0.02013178337842863,0.3269898546879175
PC7,18.40909634185241,0.019208414746529,0.34619826943444654
PC8,17.804864255988697,0.01857794705311789,0.3647762164875644
PC9,16.73201677571934,0.017458516800915258,0.3822347332884797
PC10,14.901938766953592,0.015548977258175422,0.3977837105466551
PC11,14.464375569166592,0.015092415174690534,0.41287612572134563
PC12,13.711566412925892,0.014306919231297538,0.42718304495264314
PC13,13.581639988164072,0.014171351433345126,0.4413543963859883
PC14,12.690608358217155,0.013241631430664435,0.4545960278166527
PC15,12.516009754209456,0.013059451798505076,0.4676554796151578
PC16,11.879098753050732,0.01239488627938885,0.48005036589454664
PC17,11.758010586817164,0.012268540494961445,0.4923189063895081
PC18,11.096732311715444,0.011578549680901475,0.5038974560704096
PC19,10.47365649485934,0.0109284200663644,0.514825876136774
PC20,10.171892753040801,0.010613553817599267,0.5254394299543733
PC21,9.512678159714424,0.009925716289866314,0.5353651462442396
PC22,9.088612351158119,0.009483237648910275,0.5448483838931498
PC23,8.975405828171466,0.009365115726727902,0.5542134996198778
PC24,8.564588505628567,0.008936460817767361,0.5631499604376451
PC25,8.423685749405106,0.008789440098759217,0.5719394005364044
PC26,8.239625556983212,0.008597388058359611,0.580536788594764
PC27,7.979846360000573,0.00832632931297088,0.5888631179077348
PC28,7.743365466543851,0.008079580477678004,0.5969426983854128
PC29,7.211995356195372,0.007525138408716817,0.6044678367941296
PC30,7.0315757678603745,0.0073368850465320695,0.6118047218406617
PC31,6.883557091147856,0.0071824394355292885,0.618987161276191
PC32,6.608370659789063,0.006895304477462953,0.625882465753654
PC33,6.3368472036066334,0.006611991540048107,0.6324944572937021
PC34,6.087172297133844,0.006351475810961124,0.6388459331046632
PC35,5.870822619611912,0.006125732284014006,0.6449716653886772
PC36,5.7470417028327105,0.005996576830479058,0.6509682422191563
PC37,5.648113504326802,0.005893353194090765,0.6568615954132471
PC38,5.436194359706558,0.00567223257268683,0.6625338279859339
